area;ciudad;conglomerado;panelm;vivienda;hogar;p01;sexo;edad;p04;p05a;p05b;p06;p07;p08;p09;niveleducativo;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;estrato;factorexpancion;nnivins;ingrlaboral;ingpc;condicionlaboral;codicion_empleo;desempleo;secemp;grupo1;sectoreconomico;prov;dominio;pobreza;epobreza;upm;id_vivienda;id_hogar;id_persona;periodo;mes
1;50150;50150;52;3;1;3;1;20;3;10;10;6;1;1;;9;3;;2;;6;2;180150;4;2;12;2;;;;;;;;;;11;;8; ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;5;;350,6;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;3;1;4;1;18;3;10;10;6;1;1;;7;3;;;;6;2;180150;4;2;12;2;;;;;;;;;;11;;8; ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;4;;350,6;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;4;1;1;2;73;1;4;10;3;2;;1;4;3;1;;;6;1;;1;2;5;;;6;1;;4;;;;;;;; ;;;;;5610;9412;7;;;;;;;;;;;;;;2;9;1;2;3;2;1;6;;;;;;;;;;;;5;;;;;;;;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,288037975;3;;180;5;1;;2;9;9;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202501;1
1;50150;50150;52;4;1;2;1;50;3;2;10;6;2;;11;6;6;;;;6;1;;1;1;;;;15;1;;1;1;20;3;2;;;; ;;;;;5610;9411;6;2;;;;;;;;;;;;;2;9;1;2;3;2;1;15;;;;;;;;;;;;2;600;1;60;300;;;;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,288037975;4;360;180;2;1;;2;9;9;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202501;1
1;50150;50150;52;4;1;1;1;50;1;2;10;6;2;;5;8;2;;1;10410701;6;1;;1;1;;;;48;;1;2;1;30;7;;;;; ;;;;;5610;5120;5;2;;;;;;;;;;;;;6;6;1;2;2;2;1;48;;;;;;;;;;;;2;2240;1;60;1440;;;;;;; ;2;;2;;1;120;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;5;860;980;1;1;;2;5;9;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;5;1;1;1;73;1;1;10;1;2;;1;9;4;;1;30110101;6;2;50650;2;2;12;2;;;;;;;;;;11;;12; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;1000;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,288037975;5;;1098;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202501;1
1;50150;50150;52;5;1;2;2;72;2;1;10;1;2;;2;9;4;;1;30110101;6;1;;2;2;12;2;;;;;;;;;;11;;12; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;2100;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,288037975;5;;1098;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202501;1
1;50150;50150;52;5;1;3;2;49;3;1;10;3;2;;2;10;2;;1;50110105;6;1;;2;1;;;;16;8;;4;;;;;;;; ;;;;;8530;2310;1;;1;2;2;2;1;2;1;2;2;2;1;1;22;1;2;;;;1;40;;;;;;;;;;;;1;;;;;1600;420;2;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,288037975;5;2020;1098;1;1;;1;2;16;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202501;1
1;50150;50150;52;5;1;4;1;36;3;10;10;6;2;;2;9;2;;1;21010201;6;1;;2;1;;;;28;8;;4;;;;;;;; ;;;;;5610;3434;6;2;;;;;;;;;;;;;1;6;1;2;2;1;1;42;;;;;;;;;;;;5;800;1;20;450;;;;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,288037975;5;370;1098;4;1;;1;3;9;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202501;1
1;50150;50150;52;5;1;1;1;73;1;1;10;1;2;;1;9;4;;1;30110410;6;2;50650;2;1;;;;56;;1;4;;;;;;;; ;;;;;8521;1345;2;;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;20;1;1;1;56;;;;;;;;;;;;5;;;;;300;0;2;;;; ;2;;1;1100;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;5;300;826,6666667;4;1;;1;1;16;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;5;1;2;2;72;2;1;10;1;2;;11;9;4;;1;30110410;6;1;;2;2;12;2;;;;;;;;;;11;;8; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;700;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;5;;826,6666667;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;5;1;3;1;36;3;10;10;6;2;;11;6;6;;;;6;1;;2;1;;;;36;1;;2;1;10;7;;;;; ;;;;;5610;5120;6;2;;;;;;;;;;;;;6;6;1;2;2;1;1;36;;;;;;;;;;;;5;1200;1;80;900;;;;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;4;380;826,6666667;2;1;;1;5;9;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;6;1;1;1;70;1;2;10;1;2;;1;6;4;;;;6;2;50151;1;2;12;2;;;;;;;;;;11;;8; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;340;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,288037975;4;;920;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202501;1
1;50150;50150;52;6;1;2;2;70;2;1;10;1;2;;1;6;3;;;;6;1;;1;2;12;2;;;;;;;;;;11;;12; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;1500;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,288037975;3;;920;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202501;1
1;50150;50150;52;6;1;1;1;70;1;2;10;1;2;;1;6;4;;;;6;2;50151;2;2;12;2;;;;;;;;;;11;;12; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;300;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;4;;675;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;6;1;2;2;70;2;1;10;1;2;;1;6;3;;;;6;1;;2;2;12;2;;;;;;;;;;11;;12; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;1050;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;3;;675;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;7;1;1;1;69;1;1;10;3;2;;2;9;6;;1;50330101;6;1;;1;2;12;2;;;;;;;;;;11;;8; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;2200;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,288037975;5;;2200;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202501;1
